track_name,artist_name,streams,stream_change,7day,genre,country,pos,days,viral_score,trend,popularity_category,longevity
SWIM,BTS,11273830,-3370522,25918182,K-Pop,KR,1,2,37192012,Falling,Trending,New
Body to Body,BTS,6815694,-4369341,18000729,K-Pop,KR,2,2,24816423,Falling,Trending,New
Babydoll,Dominic Fike,5733862,178968,36599831,Alternative Pop,Florida,3,119,42333693,Rising,Trending,Evergreen
Hooligan,BTS,5338608,-3396855,14074071,K-Pop,KR,4,2,19412679,Falling,Trending,New
FYA,BTS,5196767,-2873904,13267438,K-Pop,KR,5,2,18464205,Falling,Trending,New
NORMAL,BTS,4749288,-2410388,11908964,K-Pop,KR,6,2,16658252,Falling,Average,New
Stateside + Zara Larsson (w/ Zara Larsson),PinkPantheress,4738329,-235112,34238168,Uk Garage,England,7,74,38976497,Falling,Average,Stable Hit
Aliens,BTS,4718569,-3036604,12473742,K-Pop,KR,8,2,17192311,Falling,Average,New
2,BTS,4573989,-2809104,11957082,K-Pop,KR,9,2,16531071,Falling,Average,New
Like Animals,BTS,4567309,-2259887,11394505,K-Pop,KR,10,2,15961814,Falling,Average,New
Merry Go Round,BTS,4490039,-2740868,11720946,K-Pop,KR,11,2,16210985,Falling,Average,New
they don’t know ’bout us,BTS,4423675,-2305775,11153125,K-Pop,KR,12,2,15576800,Falling,Average,New
Man I Need,Olivia Dean,4300853,-86237,28683798,Pop,US,13,214,32984651,Falling,Average,Evergreen
DtMF,Bad Bunny,4274742,-111657,29551375,Pop,PR,14,441,33826117,Falling,Average,Evergreen
End of Beginning,Djo,4108838,51706,27783861,Synth-Pop,US,15,764,31892699,Rising,Average,Evergreen
Risk It All,Bruno Mars,4007478,-499146,31739152,Offizielle Charts,US,16,23,35746630,Falling,Average,New
One More Night,BTS,3979999,-2153273,10113271,K-Pop,KR,17,2,14093270,Falling,Average,New
So Easy (To Fall In Love),Olivia Dean,3932082,33687,27406397,Pop,US,18,176,31338479,Rising,Average,Evergreen
Please,BTS,3897341,-2024958,9819640,K-Pop,KR,19,2,13716981,Falling,Average,New
Raindance (w/ Tems),Dave,3876044,-197505,25945780,Rap,US,20,109,29821824,Falling,Average,Evergreen
No. 29,BTS,3769141,-2733812,10272094,K-Pop,KR,21,2,14041235,Falling,Average,New
Into the Sun,BTS,3766459,-1959266,9492184,K-Pop,KR,22,2,13258643,Falling,Average,New
The Fate of Ophelia,Taylor Swift,3721332,-164240,26075129,Pop,US,23,170,29796461,Falling,Average,Evergreen
